resort_no,resort_name,atoll,atoll_code,island,rooms,beds,phone,fax,email,resort_phone,resort_fax,resort_email,operator,owner_lessee,management,state,status,join_candidates,coordinates,coordinate_count,source
108,NH Collection Maldives Havodda Resort,Gaafu Dhaalu,GDh,Havodda,120.0,240.0,3005518,3005516,samantha@crystalplazaresorts.com,684-4888,684-4888,havodda@amari.com,"Crystal Plaza Resorts Pvt Ltd 
2nd Floor, MF Building
Chaandhanee Magu
Male', Republic of Maldives","Crystal Plaza Resorts Pvt Ltd 
2nd Floor, MF Building
Chaandhanee Magu
Male', Republic of Maldives","Minor Hotels Group (Maldives) Pvt Ltd
Anantara Kihavah Villas
Kihavah Huravalhi, Baa Atoll
Republic of Maldives",Operating,Operating,Havodda,[],0,resorts.csv
109,NH Collection Maldives Reethi Resort,Baa,B,Fonimagoodhoo,109.0,218.0,7988638,-,"manal@salihshihab.co
edarmawan@aresmgmt.com
thchua@aresmgmt.com",6602626,6602626,info@reethibeach.com / website: https://www.reethibeach.com/,"Hanifaru Holdings Pvt Ltd 
H. Orchidmaage, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Hanifaru Holdings Pvt Ltd 
H. Orchidmaage, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas, 
Kihavah Huravalhi, Baa Atoll, 
Republic of Maldives",Operating,Operating,Fonimagoodhoo,[],0,resorts.csv
110,nH Maldives Kuda Rah Resort,Alifu Dhaalu,ADh,Kudarah,51.0,102.0,6680000,6681000,rm.kudarah@amayaresorts.com,6 6 80000,6 6 80000,reservations.kudarah@amayaresorts.com,"Luxury Resort Pvt Ltd 
G. Thoanee Asseyri, Ground Floor, 
Male', Republic of Maldives","Luxury Resort Pvt Ltd 
G. Thoanee Asseyri, Ground Floor, 
Male', Republic of Maldives","Minor Hotel Group (Maldives) Private Limited
Anantara Kihavah Villas, B. Kihavah Huravalhi, Republic of Maldives",Operating,Operating,Kudarah,[],0,resorts.csv
111,Nika Island Resort and Spa,Alifu Alifu,AA,Kudafolhudhoo,52.0,104.0,"7771643
6660516
3314541",3325097,nika_htl@dhivehinet.net.mv,6660516,6660516,reservation@nikaisland.com.mv,"Nika Maldives Pvt.Ltd. 
G. Nafaa, Raadhafathi Hingun
M. West House, Chambeylee Magu
Male', Republic of Maldives","Nika Maldives Pvt.Ltd. 
M. West House, Chambeylee Magu
Male', Republic of Maldives
nika_htl@dhivehinet.net.mv",-,Operating,Operating,Kudafolhudhoo,[],0,resorts.csv
112,Niva Dhigali Maldives,Raa,R,Dhigali,181.0,362.0,3323080,3333618,info@coraledge.com.mv,6586060,6586060,info@dhigali.com,"Coral Edge Pvt Ltd 
M. Rukkara, Fulooniyaa Magu, 
Male', Republic of Maldives","Coral Edge Pvt Ltd
M. Rukkara, Fulooniyaa Magu, 
Male', Republic of Maldives",,Operating,Operating,Dhigali,[],0,resorts.csv
113,Niva Kuramathi Maldives,Alifu Alifu,AA,Kuramathi,395.0,790.0,3323080,3333618,iyaz.waheed@universalenterprises.com,6660527,6660527,info@kuramathi.com,"Universal Enterprises Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives",-,Operating,Operating,Kuramathi,[],0,resorts.csv
114,Niva Velassaru Maldives,Kaafu,K,Velassaru,129.0,258.0,"3323080
6643042","3320274
3322678",sales@unient.com.mv,6643041,6643041,reservations@velassaru.com / info@velassaru.com,"Universal Enterprises Ltd.
39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Ltd.
39, Orchid Magu
Male', Republic of Maldives
sales@unient.com.mvv",-,Operating,Operating,Velassaru,[],0,resorts.csv
115,Niyama Maldives,Dhaalu,Dh,Embudhufushi and Olhuveli,139.0,278.0,3005552,3005553,"reservations@niyama.com
info.pniy@niyama.com",6762828,654-6666,reservations@niyama.com / info.pniy@niyama.com,"O Plus E Holding Pvt. Ltd
H. Meerubahuruge Aage, 1st Floor
Ameeru Ahmed Magu
Republic of Maldives","O Plus E Holding Pvt. Ltd
H. Meerubahuruge Aage, 1st Floor
Ameeru Ahmed Magu
Republic of Maldives","Minor International (Labuan) Limited 
Level 5 (A1) Main Office Tower,
Financial Park Labuan, Jalan Merdeka 8700
F.T. Labuan Malaysia",Operating,Operating,Embudhufushi|Olhuveli,[],0,resorts.csv
116,Noku Maldives Vignette Collection,Noonu,N,Kudafunafaru,50.0,100.0,3013200,,shahdy@suoodanwar.com,656 2020,656 2020,info@nokuhotels.com,"Roxy Maldives Resort & Spa Pvt Ltd 
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Roxy Maldives Resort & Spa Pvt Ltd 
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Sustainable Luxury Maldives Pvt Ltd
M. Lux Lodge
Orchid Magu
Male', Republic of Maldives",Operating,Operating,Kudafunafaru,[],0,resorts.csv
117,Nooe Maldives Kunavashi,Vaavu,V,Kunaavashi,50.0,100.0,9333355,,simon.douthett@laviehotels.com,,,,"C.J.L Investments Pvt Ltd 
M. Chandhaneege, 3rd Floor
Alhivilaa Magu
Male', Republic of Maldives","Satin Seas Pvt Ltd 
M. Honey Dew, 3rd Floor
Izzuddheen Magu
Male', Republic of Maldives","La Vie Hotels & Resorts (Maldives) Pvt Ltd 
H. Aage (6th Floor)
Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Kunaavashi,[],0,resorts.csv
118,Nova Maldives,Alifu Dhaalu,ADh,Vakarufalhi,57.0,114.0,7908835,,afzam.zuhury@reollo.com,7261212,7261212,hello@nova-maldives.com,"Nova Resorts Pvt Ltd 
4th Floor , M. Kaneeru Villa
Orchid Magu
Male', Republic of Maldives","Athama Travels and Trade Pvt. Ltd. 
G. Dhivehi Atha
Majeedhee Magu
Male', Republic of Maldives",,Operating,Operating,Vakarufalhi,[],0,resorts.csv
119,Oaga Art Resort,Kaafu,K,Maaranfushi,62.0,124.0,3342737,,"info@oagaresorts.com, info@radhun-resorts.com",3316242,3316242,"info@oagaresorts.com, info@radhun-resorts.com","Radhun Resort and Investments Private Limited 
H. Ranrinbudhoo
Ameer Ahmed Magu
Male’, Republic of Maldives","Radhun Resort and Investments Private Limited 
H. Ranrinbudhoo
Ameer Ahmed Magu
Male’, Republic of Maldives",,Not Operating,Not Operating,Maaranfushi,[],0,resorts.csv
120,Oblu By Atmosphere at Helengeli,Kaafu,K,Helengeli,176.0,352.0,3339992,3339998,fc@oblu-helengeli.com,4000077,4000077,sales.helengeli@coloursofoblu.com/ https://oblunaturehelengeli.com-maldives.com/en/,"S.P.C Pvt Ltd 
(East Wing) Aage, 2nd Floor
12 Boduthakurufaanu Magu
Male, Rep. of Maldives","Helengeli Island Resort Pvt Ltd 
H.Orchid Maage  
Ameer Ahmed Magu
Male', Rep. of Maldives",,Operating,Operating,Helengeli,[],0,resorts.csv
121,Oblu Select by Atmosphere at Sangeli,Kaafu,K,Akirifushi,114.0,288.0,3339992,3339998,"info@eonresorts.com

shrikant@atmospherehotelsandresorts.com",400 4501,,sales@oblu-sangeli.com,"North East Pvt Ltd 
H. Aage, 3rd Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Akirifushi Investments Pvt Ltd 
Ma. Milano, 2nd Floor
Rahdhebai Magu
Male', Republic of Maldives",,Operating,Operating,Akirifushi,[],0,resorts.csv
122,"One & Only Reethi Rah, Maldives",Kaafu,K,Medhufinolhu,134.0,268.0,3310550,3310660,reservations@oneandonlyreethirah.com,6648800,6648800,reservations@oneandonlyreethirah.com,"Reethi Rah Resort Pvt. Ltd.
1st Floor, Fasmeeru Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Reethi Rah Resort Pvt. Ltd.
1st Floor, Fasmeeru Building
Boduthakurufaanu Magu
Male', Republic of Maldives","One & Only (Indian Ocean) Management Ltd.
1st Floor, Fasmeeru building 
Boduthakurufaanu magu
Male', Republic of Maldives",Operating,Operating,Medhufinolhu,[],0,resorts.csv
123,Outrigger Maldives Maafushivaru Resort,Alifu Dhaalu,ADh,Maafushivaru,93.0,186.0,7770948,Website: https://www.outrigger.com/,juni@sandalawyers.com,6680001,6680001,maldives.maafushivaru@outrigger.com,"OM Maldives Pvt Ltd 
#02-01 Millennia Tower
Ameer Ahmed Magu
Male', Republic of Maldives","OM Maldives Pvt Ltd 
#02-01 Millennia Tower
Ameer Ahmed Magu
Male', Republic of Maldives","OGHM Private Limited 
H. #04-01 Millenia Tower
Ameer Ahmed Magu
Male', Republic of Maldives",Operating,Operating,Maafushivaru,[],0,resorts.csv
124,Ozen By Atmosphere At Maadhoo,Kaafu,K,Maadhoo,107.0,214.0,3339992,3339998,shrikant@atmospherehotelsandresorts.com,400 2222,400 2222,reservations@ozen-maadhoo.com.,"D.P.C Private Limited 
H.Aage, 3rd Floor
12, Boduthakurufaanu Magu
Male', Rep. of Maldives","M.T.R Holdings Pvt Ltd 
Premier Chambers
M. Lux Lodge, 02nd Floor
Orchid Magu
Male', Rep. of Maldives","Atmosphere Core Pte Ltd 
H. Aage, 03rd Floor
12, Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Maadhoo,[],0,resorts.csv
125,Park Hyatt Maldives Hadahaa,Gaafu Alifu,GA,Hadahaa,56.0,112.0,3313388,331 6783,info@driftwoodmaldives.com,6821234,6821234,maldives.parkhadahaa@hyatt.com | Website: www.hyatt.com,"Driftwood Maldives Pvt.Ltd.
M. Vaarey Villa
Izzudeen Magu
Male', Republic of Maldives","Driftwood Maldives Pvt.Ltd.
M. Vaarey Villa
Izzudeen Magu
Male', Republic of Maldives","Hyatt International - South West Asia Ltd (FC), 
Al Kifaf Building, 27th Floor,
Zabeel Area, PO Box 506727,
Dubai, United Arab Emirates",Operating,Operating,Hadahaa,[],0,resorts.csv
126,"Patina Maldives, Fari Islands",Kaafu,K,Fari Veli Huraa,123.0,246.0,7846861,,marco.denouden@patinahotels.com / chris.chuah@mesarf.com,4000555,4000555,reservations.maldives@patinahotels.com,"Tomlinson Investment Pvt Ltd
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","MESA RF Pvt Ltd 
M. Faaroshige, Level 2
Orchid Magu 
Male', Republic of Maldives","Capella Hotel Group Management (Maldives) Pvt Ltd 
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives",Operating,Operating,Fari Veli Huraa,[],0,resorts.csv
127,Pullman Maldives Maamutaa Resort,Gaafu Alifu,GA,Maamutaa,136.0,271.0,3333887,3011699,erah@keonghong.com,6820909,6820909,H9924@accor.com,"Pristine Islands Investment (Maldives)Pvt Ltd 
G. Alhifashuviaage, 3rd floor, Dharumavantha Magu, 
Male', Republic of Maldives","Pristine Islands Investment (Maldives) Pvt Ltd
G. Alhifashuviaage, 3rd floor,
Dharumavantha Magu,
Male', Republic of Maldives","AAPC (Maldives) Private Limited 
C/O H. Shah, Hussain & Co. Barristers and Attorneys, 6th Floor, Aage, 12 Boduthakurufaanu Magu,
Male', Republic of Maldives",Operating,Operating,Maamutaa,[],0,resorts.csv
128,Raaya by Atmosphere,Raa,R,Kudakurathu,200.0,400.0,7902612 / 77777242,,mohdhussainf@gmail.com,4001400,4001400,raaya@amari.com,"Kudakurathu Island Resort Pvt Ltd
Ma. Dawn Shine
Zamaanee Goalhi
Male', Republic of Maldives","Kudakurathu Island Resort Pvt Ltd
Ma. Dawn Shine
Zamaanee Goalhi
Male', Republic of Maldives","Atmosphere Core Pvt Ltd 
H. Aage, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Kudakurathu,[],0,resorts.csv
129,Radisson Blu Resort Maldives,Alifu Dhaalu,ADh,Huruelhi,160.0,320.0,9151593,3310940,james.wong@changhua.com.sg,9151593,9151593,james.wong@changhua.com.sg / eunice.tan@carlsonrezidor.com,"Huruelhi Investment Pvt Ltd 
M. Faamudheyrige, 6A, 
Orchid Magu, 
Male', Republic of Maldives","Huruelhi Investment Pvt Ltd 
M. Faamudheyrige, 6A, 
Orchid Magu, 
Male', Republic of Maldives",,Operating,Operating,Huruelhi,[],0,resorts.csv
130,Rah Gili Maldives,Kaafu,K,Mahaana elhi Huraa,42.0,84.0,9330339,Website: https://rahgili.com/,harish@dhonmaaga.com,+960 401 4001,+960 401 4001,marketing@rahgili.com,"BeachX Pvt Ltd 
H. Aage, 3rd Floor,
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Maahal Tours Pvt Ltd 
Ma. Thandinoomaage, Ground Floor, 
Badifasgandu Magu, 
Male', Republic of Maldives",-,Operating,Operating,Mahaana elhi Huraa,[],0,resorts.csv
131,Rahaa Resort,Laamu,L,Kudafares and Fares,81.0,162.0,"6800044
7428005",,"info@rahaaresort.com
ismail@rahaaresort.com",,,rahaa@rahaaresort.com,"MO Hotels and Resorts Pvt Ltd 
M. Gulhazaaruge 
Fareedhee Magu 
Male', Republic of Maldives","Heavy Load Maldives Pvt Ltd 
M. Gulhazaaruge 
Fareedhee Magu 
Male', Republic of Maldives",,Operating,Operating,Kudafares|Fares,[],0,resorts.csv
132,Reethi Faru Resort,Raa,R,Filaidhoo,164.0,328.0,3312626,4004445,shihab@reethifaru.com,400-4000,400-4000,inquiry@reethifaru.com,"Mahogany Pvt Ltd 
H. Maadhooge, 1st Floor
Karankaa Magu
Male', Republic of Maldives","Mahogany Pvt Ltd 
H. Maadhooge, 1st Floor
Karankaa Magu
Male', Republic of Maldives",,Operating,Operating,Filaidhoo,[],0,resorts.csv
133,Riu Atoll and Riu Palace Maldivas,Dhaalu,Dh,Maafushi and Kedhigandu,440.0,880.0,3333644,3315453,dheena@shclawyers.com,3333644,3315453,pfernandezb@riu.com,"Riu Atoll Pvt. Ltd. 
Shah, Hussain & Co. Barristers and Attorneys 
6th Floor, H. Aagé
12 Boduthakurufaanu Magu, 
Male', Republic of Maldives","Riu Atoll Pvt. Ltd. 
Shah, Hussain & Co. Barristers and Attorneys 
6th Floor, H. Aagé
12 Boduthakurufaanu Magu, 
Male', Republic of Maldives",,Operating,Operating,Maafushi|Kedhigandu,[],0,resorts.csv
134,Robinson Maldives,Gaafu Alifu,GA,Funamauddua,124.0,248.0,7970051,-,Monalisa.Roy@robinson.com,6820000,6820000,Reservation.Maldives@robinson.com / maldives@robinson.com,"Robinson Club Maldives Pvt Ltd 
H. Maaram Building, 5th Floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Robinson Club Maldives Pvt Ltd 
H. Maaram Building, 5th Floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives",-,Operating,Operating,Funamauddua,[],0,resorts.csv
135,Robinson Noonu,Noonu,N,Orivaru,150.0,300.0,3009095,4004445,officemanager.maldives@robinson.com bjoern.thuemmel@robinson.com,4004444,4004445,noonu@robinson.com,"Robinsion Club Maldives Pvt Ltd 
H. Maaram, 5th Floor
Ameer Ahmed Magu
Male', Republic of Maldives","Robinsion Club Maldives Pvt Ltd
H. Maaram, 5th Floor
Ameer Ahmed Magu
Male', Republic of Maldives",,Operating,Operating,Orivaru,[],0,resorts.csv
136,Royal Island Resort and Spa,Baa,B,Horubadhoo,152.0,304.0,332 5195,"332 5177
6600088",info@villa.com.mv,660 0088,660 0088,bookings@royal-island.com.mv,"Villa Shipping and Trading Company Pvt Ltd 
Villa Building
Ibrahim Hassan Didi Magu
Male', Republic of Maldives","Island Travel and Trade Pvt. Ltd
Villa Building
Ibrahim Hassan Didi Magu
Male', Republic of Maldives",,Operating,Operating,Horubadhoo,[],0,resorts.csv
137,Saii Lagoon Maldives,Kaafu,K,Eh'mafushi,170.0,340.0,+9606651300,,rsvn.lagoon@SAiiresorts.com,6651300,6651300,info.lagoon@saiiresorts.com,"Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives","Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives",,Operating,Operating,Eh'mafushi,[],0,resorts.csv
138,Sandies Bathala,Alifu Alifu,AA,Bathala,70.0,140.0,7905040,,resmg.thudufushi@diamonds-resorts.com,4002400,-,info.bathala@sandies-resorts.com,"Away Hotels Maldives Pvt. Ltd. 
M. Veeza 
Dhambu Goalhi 20190
Male’, Republic of Maldives","B Resorts Investment Pvt. Ltd. 
G. Neem Building, 3rd Floor
Majeedhee Magu
Male’, Republic of Maldives",-,Operating,Operating,Bathala,[],0,resorts.csv
139,Shangri-la Villingili Maldives,Seenu,S,Villingili,11.0,22.0,3321378,Website: www.shangri-la.com/male/villingiliresort/,slmd@shangri-la.com,6897888,6897888,slmd@shangri-la.com,"Addu Investments Pvt Ltd 
Ma. No. 379, 
Male', Kaafu Atoll, 
Republic of Maldives","Addu Investments Pvt Ltd 
Ma. No. 379, 
Male', Kaafu Atoll, 
Republic of Maldives",,Operating,Operating,Villingili,[],0,resorts.csv
140,Sheraton Maldives Full Moon Resort & Spa,Kaafu,K,Furanafushi,176.0,352.0,7931698,,vijay.kumar@marriott.com,6642010,6642010,sheraton.maldives@sheraton.com,"Manta Resort Holdings II Pvt. Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives","Manta Resort Holdings II Pvt. Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd
H. #04-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives",Operating,Operating,Furanafushi,[],0,resorts.csv
141,Sirru Fen Fushi,Shaviyani,Sh,Gaakoshibee,149.0,298.0,6548888 / 3013200,,shahdy@suoodanwar.com,6548888 / 3013200,,mld.reservations.maldives@fairmont.com /,"GBH Maldives Resorts Pvt Ltd 
#02-01, H.Millenia Tower
10 Ameeru Ahmed Magu
Male', Republic of Maldives","GBH Maldives Resorts Pvt Ltd 
#02-01, H.Millenia Tower
10 Ameeru Ahmed Magu
Male', Republic of Maldives",,Operating,Operating,Gaakoshibee,[],0,resorts.csv
142,Six Senses Kanuhura,Lhaviyani,Lh,Kanuhuraa,96.0,192.0,7786424,,mohamed.riza@sixsenses.com,6620044,6620044,info@sixsenses.com / http://www.sixsenses.com/,"Leisure Oceans Pvt Ltd 
H. Millenia Tower
 Ameer Ahmed Magu
 Male’, Republic of Maldives","Leisure Oceans Pvt Ltd 
H. Millenia Tower
 Ameer Ahmed Magu
 Male’, Republic of Maldives","Sustainable Luxury Maldives Pvt Ltd 
M. Lux Lodge
 Orchid Magu 2013
Male’, Republic of Maldives",Operating,Operating,Kanuhuraa,[],0,resorts.csv
143,Six Senses Laamu,Laamu,L,Olhuveli,99.0,198.0,301 3200,,"shahdy@suoodanwar.com
may.anchoriz@sixsenses.com",680 0800,,reservations-laamu@sixsenses.com," Leisure Frontiers Pvt. Ltd
 H.#02-01, Millenia Tower
 10, Ameeru Ahmed Magu
 Male', Rep of Maldives","Leisure Frontiers Pvt. Ltd
 H.#02-01, Millenia Tower
 10, Ameeru Ahmed Magu
 Male', Rep of Maldives",,Operating,Operating,Olhuveli,[],0,resorts.csv
144,Siyam World Maldives,Noonu,N,Dhigurah,530.0,1060.0,3325977,,info@siyamworld.com,6567777,,sales@siyamworld.com / stay@siyamworld.com,"Wego Maldives Pvt Ltd 
H. Sun Siyam Building 
Boduthakurufaanu Magu 
Male', Republic of Maldives","Wego Pvt Ltd
H. Sun Siyam Building 
Boduthakurufaanu Magu 
Male', Republic of Maldives",,Operating,Operating,Dhigurah,[],0,resorts.csv
145,SO/ Maldives,Kaafu,K,"4° 7’ 24.562” N, 73° 28’ 52.015” E",93.0,186.0,6649100,-,"jespersoerense@so-hotels.com 
https://so-hotels.com/",,,SO.Maldives@so-hotels.com,"Dream Islands Development 3 Pvt Ltd
H. Millenia Tower, #02-0110 
Ameer Ahmed Magu
Male', Republic of Maldives","Dream Islands Development 2 Pvt Ltd
H. Millenia Tower, #02-0110 
Ameer Ahmed Magu
Male', Republic of Maldives",,Operating,Operating,,[],0,resorts.csv
146,Soneva Fushi Resort,Baa,B,Kunfunadhoo,176.0,352.0,3017201,,mgr-male@soneva.com,660 0304,660 0304,mail@soneva.com,"Soneva Management (BVI) Limited
Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Bunny Holdings (BVI) Ltd.
Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Soneva Management (BVI) Limited
Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Kunfunadhoo,[],0,resorts.csv
147,Soneva Jani,Noonu,N,Medhufaru,98.0,196.0,"6600304
3326686",6600374,patrickm@soneva.com,656 6666,656 6666,reservations@soneva.com,"Hillside Villa Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Maldives","Hillside Villa Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Maldives","Soneva Management (BVI) Ltd. 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Repubic of Maldives",Operating,Operating,Medhufaru,[],0,resorts.csv
148,Soneva Secret,Haa Dhaalu,HDh,Dhipparufushi,30.0,60.0,7792656,-,mgr-male@soneva.com,4010000,4010000,reservations@soneva.com,"Secret Venture Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Secret Venture Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Soneva Management (BVI) Ltd (FC)
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldiv",Operating,Operating,Dhipparufushi,[],0,resorts.csv
149,South Palm Resort Maldives,Seenu,S,Ismehelahera Kedevaahera,130.0,260.0,6890010,,reservations@southpalmresort.com,6890009,6890009,reservations@southpalmresort.com,"South Palm Maldives Pvt Ltd 
Keytha 
Feydhoo, Seenu Atoll
Republic of Maldives","South Palm Maldives Pvt Ltd 
Keytha 
Feydhoo, Seenu Atoll
Republic of Maldives",,Operating,Operating,Ismehelahera Kedevaahera,[],0,resorts.csv
150,Summer Island Maldives,Kaafu,K,Ziyaaraiyfushi,157.0,314.0,"3322212
3318005",3318057,reservations@summerislandmaldives.com,664 1949,664 1949,reservations@summerislandmaldives.com,"Kaimoo Travels and Hotel Services Pvt. Ltd.
H. Maagala
Meheli Goalhi
Male', Republic of Maldives","Ziyaraiy Maldives Pvt. Ltd. 
M. Nooranee Aage 
Ameer Ahmed Magu
Male', Republic of Maldives",-,Operating,Operating,Ziyaaraiyfushi,[],0,resorts.csv
151,Sun Siyam Iru Fushi Maldives,Noonu,N,Medhafushi,224.0,448.0,3325977,"3333897/
332 0419",info@sunsiyam.com,6560591,6560591,ecommerce.irufushi@sunsiyam.com,"Sun Travels & Tours Pvt Ltd
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Sun Travels & Tours Pvt Ltd
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Iru Hotels & Resorts Pvt Ltd,
H. Sun Siyam Building, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",Operating,Operating,Medhafushi,[],0,resorts.csv
152,Sun Siyam Iru Veli Maldives,Dhaalu,Dh,Aluvifushi,127.0,254.0,3325977,3333897,info@sunsiyam.cm,6760022,6760022,rsvn.iruveli@sunaqua.com,"Ocean Islands Pvt Ltd 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Ocean Islands Pvt Ltd 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldivesmaldives.com.mv",,Operating,Operating,Aluvifushi,[],0,resorts.csv
153,Sun Siyam Olhuveli Maldives,Kaafu,K,Olhuveli,460.0,920.0,3325977,3333897,info@sunsiyam.com,6642788,6642788,customercare@olhuvelimaldives.com,"Emerald Resort Pvt. Ltd. 
H. Sun Siyam Building, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Hotels and Resorts Holding Pvt. Ltd. 
H. Sun Siyam Building, 
Boduthakurufaanu Magu,
Male', Republic of Maldives",-,Operating,Operating,Olhuveli,[],0,resorts.csv
154,Sun Siyam Vilu Reef Maldives,Dhaalu,Dh,Meedhuffushi,104.0,208.0,3329110,3333897,admin@suntravelmaldives.com.mv,6760011,6760011,ecommerce.vilureef@sunsiyam.com,"Sun Investments Pvt. Ltd. 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Sun Investments Pvt. Ltd. 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives",-,Operating,Operating,Meedhuffushi,[],0,resorts.csv
155,Taj Coral Reef Resort and Spa,Kaafu,K,Hembadhu,64.0,128.0,3317530,3314059,tajmale@dhivehinet.net.mv,664-1948,,tajcoralreef@tajhotels.com,"Tal Maldives Resorts Pvt. Ltd.
(Taj Group of Hotels, India)
G. Maajehige, 1st Floor
Lily Magu
Male', Republic of Maldives
","Tal Maldives Resorts Pvt. Ltd.
(Taj Group of Hotels, India)
G. Maajehige, 1st Floor
Lily Magu
Male', Republic of Maldives
tajmale@dhivehinet.net.mv",,Operating,Operating,Hembadhu,[],0,resorts.csv
156,Taj Exotica Resort & Spa Maldives,Kaafu,K,Embudhu Finolhu,67.0,134.0,3317530,,exotica.maldives@tajhotels.com,400600,400600,exotica.maldives@tajhotels.com,"TAL Maldives Resorts Pvt. Ltd 
H. Sifa, 4th Floor B
Boduthakurufaanu Magu
Male', Republic of Maldives","Hima Holdings Pvt Ltd
2/44 Orchid Magu
Male', Republic of Maldives",,Operating,Operating,Embudhu Finolhu,[],0,resorts.csv
157,The Halcyon Private Isles Maldives Autograph Collection,Gaafu Alifu,GA,Meradhoo,50.0,100.0,6828800/,-,reservations@thehalcyonmaldives.com,6828800,-,reservations@thehalcyonmaldives.com,"CDL HBT Oceanic Maldives Pvt Ltd 
H. Millennia Tower, #02-01, 10 Ameer Ahmed Magu 20026, 
Male', Republic of Maldives","CDLHT Oceanic Maldives Pvt Ltd 
H. Millennia Tower, #02-01, 10 Ameer Ahmed Magu 20026, 
Male', Republic of Maldives","Apara Hotel Management Maldives Pvt Ltd,
H. Millennia Tower, #02-01, 10
Ameer Ahmed Magu, 
Male', Republic of Maldives",Operating,Operating,Meradhoo,[],0,resorts.csv
158,The Nautilus Maldives,Baa,B,Thiladhoo,31.0,62.0,6600000,6600001,akheel.muhsin@reollo.com / althaf@thenautilusmaldives.com,6600000,6600000,hello@thenautilusmaldives.com,"Thiladhoo Resorts Pvt Ltd
M. Sakkeyogasdhoshuge, 
Fiyaathoshi Magu, 
Male', Republic of Maldives","Thiladhoo Resorts Pvt Ltd
M. Sakkeyogasdhoshuge, 
Fiyaathoshi Magu, 
Male', Republic of Maldives",,Operating,Operating,Thiladhoo,[],0,resorts.csv
159,The Residence Maldives,Gaafu Alifu,GA,Falhumaafushi,100.0,200.0,682-0088,330 9041,msundaram@theresidence.com,682-0088,,msundaram@theresidence.com,"Bonaventure (Maldives) Pvt. Ltd
Ma. Malaaz
Huvandhuma Goalhi 
Male', Republic of Maldives","Bonaventure (Maldives) Pvt. Ltd
Ma. Malaaz
Huvandhuma Goalhi 
Male', Republic of Maldives",,Operating,Operating,Falhumaafushi,[],0,resorts.csv
